Fighter,Winner,Winner_binary,L,Stance,Stance_Orth,Stance_South,Stance_Switch,Ht.,Reach,Wt.,W,Date of Fight,Birth Date,Age at Fight
Nikita Krylov,Blue,0,5,Orthodox,1,0,0,190.5,195.58,205,8,2021-02-27,1992-03-07,29
Dustin Jacoby,Red,1,2,Orthodox,1,0,0,190.5,193.04,205,1,2021-02-27,1988-04-04,33
Aleksei Oleinik,Blue,0,5,Orthodox,1,0,0,187.96,203.2,240,8,2021-02-20,1977-06-20,44
Charles Rosa,Blue,0,4,Switch,0,0,1,175.26,175.26,145,4,2021-02-20,1986-08-24,34
Phil Hawes,Red,1,0,Orthodox,1,0,0,182.88,195.58,185,1,2021-02-20,1989-01-08,32
Curtis Blaydes,Blue,0,3,Orthodox,1,0,0,193.04,203.2,265,9,2021-02-20,1991-02-18,30
Eddie Wineland,Blue,0,8,Orthodox,1,0,0,170.18,175.26,135,6,2021-02-20,1984-06-26,37
Andrei Arlovski,Blue,0,14,Orthodox,1,0,0,190.5,195.58,240,19,2021-02-20,1979-02-04,42
Jared Gordon,Red,1,3,Orthodox,1,0,0,175.26,172.72,145,4,2021-02-20,1988-09-06,32
Ketlen Vieira,Blue,0,1,Orthodox,1,0,0,172.72,172.72,135,5,2021-02-20,1991-08-26,29
Aiemann Zahabi,Red,1,2,Orthodox,1,0,0,172.72,172.72,135,1,2021-02-20,1987-11-19,33
Serghei Spivac,Red,1,2,Orthodox,1,0,0,190.5,198.12,260,2,2021-02-20,1995-01-24,26
Nate Landwehr,Blue,0,1,Orthodox,1,0,0,175.26,182.88,145,1,2021-02-20,1988-06-06,33
Shana Dobson,Blue,0,3,Orthodox,1,0,0,167.64,175.26,125,2,2021-02-20,1989-03-30,32
Maycee Barber,Blue,0,1,Switch,0,0,1,165.1,165.1,125,3,2021-02-13,1998-05-18,23
Belal Muhammad,Red,1,3,Orthodox,1,0,0,180.34,182.88,170,8,2021-02-13,1988-07-09,33
Maki Pitolo,Blue,0,3,Orthodox,1,0,0,177.8,190.5,185,1,2021-02-13,1990-11-24,30
Kamaru Usman,Red,1,0,Switch,0,0,1,182.88,193.04,170,12,2021-02-13,1987-05-11,34
Ricky Simon,Red,1,2,Orthodox,1,0,0,167.64,175.26,135,5,2021-02-13,1992-08-31,28
Kelvin Gastelum,Red,1,7,Southpaw,0,1,0,175.26,180.34,185,10,2021-02-13,1991-10-24,29
Polyana Viana,Red,1,3,Orthodox,1,0,0,165.1,170.18,115,2,2021-02-13,1992-06-14,29
Rodolfo Vieira,Blue,0,0,Orthodox,1,0,0,182.88,185.42,185,2,2021-02-13,1989-09-25,31
Gabe Green,Red,1,1,Switch,0,0,1,177.8,185.42,170,0,2021-02-13,1993-05-02,28
Andre Ewell,Blue,0,2,Southpaw,0,1,0,172.72,190.5,135,4,2021-02-13,1988-01-21,33
Alexandre Pantoja,Red,1,3,Orthodox,1,0,0,165.1,170.18,125,6,2021-02-06,1990-04-16,31
Karol Rosa,Red,1,0,Orthodox,1,0,0,165.1,170.18,135,2,2021-02-06,1994-12-30,26
Devonte Smith,Red,1,1,Orthodox,1,0,0,175.26,193.04,155,2,2021-02-06,1993-07-30,28
Michael Johnson,Blue,0,12,Southpaw,0,1,0,177.8,185.42,155,11,2021-02-06,1986-06-04,35
Alistair Overeem,Blue,0,7,Orthodox,1,0,0,193.04,203.2,265,12,2021-02-06,1980-05-17,41
Diego Ferreira,Blue,0,2,Orthodox,1,0,0,175.26,187.96,155,8,2021-02-06,1985-01-18,36
Cory Sandhagen,Red,1,1,Switch,0,0,1,180.34,177.8,135,6,2021-02-06,1992-04-20,29
Mike Rodriguez,Blue,0,4,Southpaw,0,1,0,193.04,208.28,205,2,2021-02-06,1988-11-28,32
Ode Osbourne,Red,1,1,Southpaw,0,1,0,170.18,185.42,145,0,2021-02-06,1992-01-09,29
SeungWoo Choi,Red,1,2,Orthodox,1,0,0,182.88,187.96,145,1,2021-02-06,1992-11-03,28
Molly McCann,Blue,0,2,Orthodox,1,0,0,162.56,157.48,125,3,2021-02-06,1990-05-04,31
Timur Valiev,Red,1,1,Orthodox,1,0,0,167.64,170.18,145,0,2021-02-06,1990-01-19,31
Dan Hooker,Blue,0,5,Switch,0,0,1,182.88,190.5,155,10,2021-01-23,1990-02-13,31
Andrew Sanchez,Blue,0,3,Orthodox,1,0,0,185.42,187.96,185,5,2021-01-23,1988-04-08,33
Julianna Pena,Red,1,2,Orthodox,1,0,0,167.64,175.26,135,5,2021-01-23,1989-08-19,31
Jessica Eye,Blue,0,8,Orthodox,1,0,0,167.64,167.64,125,5,2021-01-23,1986-07-27,34
Dustin Poirier,Red,1,6,Southpaw,0,1,0,175.26,182.88,155,18,2021-01-23,1989-01-19,32
Brad Tavares,Red,1,6,Orthodox,1,0,0,185.42,187.96,185,12,2021-01-23,1987-12-21,33
Arman Tsarukyan,Red,1,1,Orthodox,1,0,0,170.18,182.88,155,2,2021-01-23,1996-10-11,24
Marina Rodriguez,Red,1,3,Orthodox,1,0,0,167.64,165.1,115,2,2021-01-23,1987-04-29,34
Amir Albazi,Red,1,0,Orthodox,1,0,0,165.1,172.72,125,1,2021-01-23,1993-10-27,27
Khalil Rountree Jr.,Blue,0,5,Southpaw,0,1,0,185.42,193.04,205,4,2021-01-23,1990-02-26,31
Nik Lentz,Blue,0,10,Orthodox,1,0,0,172.72,172.72,145,14,2021-01-23,1984-08-13,36
Ricky Simon,Red,1,2,Orthodox,1,0,0,167.64,175.26,135,4,2021-01-20,1992-08-31,28
Omari Akhmedov,Red,1,5,Orthodox,1,0,0,182.88,185.42,185,8,2021-01-20,1987-10-12,33
Warlley Alves,Red,1,4,Orthodox,1,0,0,180.34,182.88,170,7,2021-01-20,1991-01-04,30
Matt Schnell,Red,1,3,Orthodox,1,0,0,172.72,177.8,125,4,2021-01-20,1990-01-15,31
Roxanne Modafferi,Blue,0,5,Orthodox,1,0,0,170.18,175.26,125,4,2021-01-20,1982-09-24,38
Ike Villanueva,Red,1,2,Orthodox,1,0,0,185.42,185.42,225,0,2021-01-20,1984-04-04,37
Michael Chiesa,Red,1,4,Southpaw,0,1,0,185.42,190.5,170,10,2021-01-20,1987-12-07,33
Lerone Murphy,Red,1,1,Orthodox,1,0,0,175.26,185.42,145,1,2021-01-20,1991-07-22,29
Su Mudaerji,Red,1,1,Southpaw,0,1,0,172.72,182.88,125,2,2021-01-20,1996-01-20,25
Francisco Figueiredo,Red,1,0,Southpaw,0,1,0,167.64,175.26,135,0,2021-01-20,1989-10-23,31
Mike Davis,Red,1,1,Orthodox,1,0,0,182.88,182.88,145,1,2021-01-20,1992-10-07,28
Dalcha Lungiambula,Red,1,1,Orthodox,1,0,0,172.72,193.04,185,1,2021-01-20,1987-07-31,33
Umar Nurmagomedov,Red,1,0,Orthodox,1,0,0,172.72,,135,0,2021-01-20,1996-03-01,25
Victoria Leonardo,Blue,0,0,Orthodox,1,0,0,165.1,162.56,125,0,2021-01-20,1990-02-16,31
Wu Yanan,Blue,0,2,Orthodox,1,0,0,172.72,167.64,125,1,2021-01-16,1996-04-18,25
Punahele Soriano,Red,1,0,Southpaw,0,1,0,180.34,182.88,185,1,2021-01-16,1992-11-22,28
Carlos Felipe,Red,1,1,Orthodox,1,0,0,182.88,190.5,245,1,2021-01-16,1995-01-12,26
Carlos Condit,Red,1,9,Orthodox,1,0,0,187.96,190.5,170,8,2021-01-16,1984-04-26,37
David Zawada,Blue,0,2,Orthodox,1,0,0,182.88,190.5,170,1,2021-01-16,1990-08-01,30
Joaquin Buckley,Blue,0,1,Southpaw,0,1,0,177.8,193.04,185,2,2021-01-16,1994-04-27,27
Santiago Ponzinibbio,Blue,0,2,Orthodox,1,0,0,182.88,185.42,170,9,2021-01-16,1986-09-26,34
Max Holloway,Red,1,6,Orthodox,1,0,0,180.34,175.26,145,17,2021-01-16,1991-12-04,29
Sarah Moras,Blue,0,5,Orthodox,1,0,0,170.18,170.18,135,3,2021-01-16,1988-04-30,33
Jacob Kilburn,Blue,0,1,Orthodox,1,0,0,175.26,182.88,145,0,2021-01-16,1995-06-28,26
Marlon Moraes,Blue,0,3,Orthodox,1,0,0,167.64,170.18,135,5,2020-12-19,1988-04-26,33
Sijara Eubanks,Blue,0,3,Orthodox,1,0,0,162.56,170.18,135,4,2020-12-19,1985-04-27,36
Deron Winn,Red,1,2,Orthodox,1,0,0,167.64,177.8,185,1,2020-12-19,1989-06-13,32
Stephen Thompson,Red,1,5,Orthodox,1,0,0,182.88,190.5,170,10,2020-12-19,1983-02-11,38
Jose Aldo,Red,1,6,Orthodox,1,0,0,170.18,177.8,135,10,2020-12-19,1986-09-09,34
Anthony Pettis,Red,1,9,Orthodox,1,0,0,177.8,182.88,155,10,2020-12-19,1987-01-27,34
Marcin Tybura,Red,1,5,Orthodox,1,0,0,190.5,198.12,249,7,2020-12-19,1985-11-09,35
Michel Pereira,Red,1,2,Orthodox,1,0,0,185.42,185.42,170,2,2020-12-19,1993-10-06,27
Gillian Robertson,Blue,0,2,Orthodox,1,0,0,165.1,160.02,125,6,2020-12-19,1995-05-17,26
Jimmy Flick,Red,1,0,Orthodox,1,0,0,170.18,172.72,125,0,2020-12-19,1990-09-07,30
Tafon Nchukwi,Red,1,0,Orthodox,1,0,0,182.88,195.58,205,0,2020-12-19,1994-10-14,26
Christos Giagos,Red,1,4,Orthodox,1,0,0,177.8,180.34,155,3,2020-12-19,1990-01-23,31
Renato Moicano,Blue,0,3,Orthodox,1,0,0,180.34,182.88,155,6,2020-12-12,1989-05-21,32
Kevin Holland,Red,1,2,Orthodox,1,0,0,190.5,205.74,185,7,2020-12-12,1992-11-05,28
Mackenzie Dern,Red,1,1,Orthodox,1,0,0,162.56,160.02,115,4,2020-12-12,1993-03-24,28
Tony Ferguson,Blue,0,2,Orthodox,1,0,0,180.34,193.04,155,15,2020-12-12,1984-02-12,37
Deiveson Figueiredo,Draw,0,1,Orthodox,1,0,0,165.1,172.72,125,9,2020-12-12,1987-12-18,33
Junior Dos Santos,Blue,0,7,Orthodox,1,0,0,193.04,195.58,238,15,2020-12-12,1984-01-30,37
Gavin Tucker,Red,1,1,Southpaw,0,1,0,167.64,167.64,145,3,2020-12-12,1986-06-17,34
Cub Swanson,Red,1,7,Orthodox,1,0,0,172.72,177.8,145,11,2020-12-12,1983-11-02,37
Tecia Torres,Red,1,5,Orthodox,1,0,0,154.94,152.4,115,7,2020-12-12,1989-08-16,31
Chase Hooper,Red,1,1,Southpaw,0,1,0,185.42,187.96,145,1,2020-12-12,1999-09-13,21
Gabriel Benitez,Red,1,4,Southpaw,0,1,0,172.72,180.34,155,5,2020-12-05,1988-06-15,32
Roman Dolidze,Red,1,0,Orthodox,1,0,0,187.96,193.04,205,1,2020-12-05,1988-07-15,32
Ilia Topuria,Red,1,0,Orthodox,1,0,0,170.18,175.26,145,1,2020-12-05,1997-01-21,24
Louis Smolka,Red,1,7,Orthodox,1,0,0,175.26,172.72,135,7,2020-12-05,1991-07-16,29
Gian Villante,Blue,0,9,Orthodox,1,0,0,190.5,193.04,230,7,2020-12-05,1985-08-18,35
Ovince Saint Preux,Blue,0,9,Southpaw,0,1,0,190.5,203.2,205,13,2020-12-05,1983-04-08,38
Matt Wiman,Blue,0,7,Orthodox,1,0,0,177.8,172.72,155,10,2020-12-05,1983-09-19,37
Jack Hermansson,Blue,0,3,Orthodox,1,0,0,185.42,195.58,185,8,2020-12-05,1988-06-10,32
Ashlee Evans-Smith,Blue,0,4,Orthodox,1,0,0,172.72,170.18,135,3,2020-11-28,1987-07-09,33
Jonathan Pearce,Red,1,1,Switch,0,0,1,182.88,180.34,145,0,2020-11-28,1992-05-01,29
Miguel Baeza,Red,1,0,Orthodox,1,0,0,187.96,187.96,170,2,2020-11-28,1992-08-23,28
Josh Parisian,Blue,0,0,Orthodox,1,0,0,193.04,200.66,265,0,2020-11-28,1989-06-28,31
Anthony Smith,Red,1,6,Orthodox,1,0,0,193.04,193.04,205,8,2020-11-28,1988-07-26,32
Spike Carlyle,Blue,0,1,Switch,0,0,1,172.72,180.34,145,1,2020-11-28,1993-05-06,28
Martin Day,Blue,0,2,Orthodox,1,0,0,177.8,185.42,145,0,2020-11-28,1988-11-10,32
Luke Sanders,Blue,0,3,Southpaw,0,1,0,167.64,170.18,135,3,2020-11-28,1985-12-12,35
Gina Mazany,Red,1,4,Southpaw,0,1,0,167.64,172.72,125,1,2020-11-28,1988-08-19,32
Su Mudaerji,Red,1,1,Southpaw,0,1,0,172.72,182.88,125,1,2020-11-28,1996-01-20,25
Brandon Moreno,Red,1,3,Orthodox,1,0,0,170.18,177.8,125,5,2020-11-21,1993-12-07,27
Joaquin Buckley,Red,1,1,Southpaw,0,1,0,177.8,193.04,185,1,2020-11-21,1994-04-27,27
Katlyn Chookagian,Red,1,4,Orthodox,1,0,0,175.26,172.72,125,7,2020-11-21,1988-12-28,32
Antonina Shevchenko,Red,1,2,Southpaw,0,1,0,172.72,170.18,125,2,2020-11-21,1984-11-20,36
Valentina Shevchenko,Red,1,2,Southpaw,0,1,0,165.1,167.64,125,8,2020-11-21,1988-03-07,33
Deiveson Figueiredo,Red,1,1,Orthodox,1,0,0,165.1,172.72,125,8,2020-11-21,1987-12-18,33
Mauricio Rua,Blue,0,10,Orthodox,1,0,0,185.42,193.04,205,11,2020-11-21,1981-11-25,39
Mike Perry,Blue,0,6,Orthodox,1,0,0,177.8,180.34,170,7,2020-11-21,1991-09-15,29
Alan Jouban,Red,1,5,Southpaw,0,1,0,182.88,185.42,170,7,2020-11-21,1981-11-25,39
Daniel Rodriguez,Blue,0,0,Southpaw,0,1,0,185.42,187.96,170,3,2020-11-21,1986-12-31,34
Louis Cosce,Blue,0,0,Orthodox,1,0,0,175.26,180.34,170,0,2020-11-21,1995-08-27,25
Kyle Daukaus,Red,1,1,Southpaw,0,1,0,190.5,193.04,185,0,2020-11-21,1993-02-27,28
Ashley Yoder,Red,1,5,Southpaw,0,1,0,170.18,175.26,115,2,2020-11-14,1987-10-20,33
Kay Hansen,Blue,0,0,Orthodox,1,0,0,157.48,160.02,115,1,2020-11-14,1999-08-14,21
Randa Markos,Blue,0,9,Orthodox,1,0,0,162.56,160.02,115,6,2020-11-14,1985-08-10,35
Brendan Allen,Blue,0,0,Orthodox,1,0,0,187.96,190.5,185,3,2020-11-14,1995-12-28,25
Geraldo de Freitas,Blue,0,1,Orthodox,1,0,0,170.18,182.88,135,1,2020-11-14,1991-09-30,29
Alex Morono,Red,1,4,Orthodox,1,0,0,180.34,182.88,170,6,2020-11-14,1990-08-16,30
Abdul Razak Alhassan,Blue,0,2,Orthodox,1,0,0,177.8,185.42,170,4,2020-11-14,1985-08-11,35
Paul Felder,Blue,0,5,Orthodox,1,0,0,180.34,177.8,155,9,2020-11-14,1984-04-25,37
Don'Tale Mayes,Red,1,2,Orthodox,1,0,0,198.12,205.74,260,0,2020-11-14,1992-01-16,29
Thiago Santos,Blue,0,6,Orthodox,1,0,0,187.96,193.04,205,13,2020-11-07,1984-01-07,37
Andrei Arlovski,Red,1,14,Orthodox,1,0,0,190.5,195.58,240,18,2020-11-07,1979-02-04,42
Alexandr Romanov,Red,1,0,Southpaw,0,1,0,187.96,190.5,262,1,2020-11-07,1990-12-11,30
Claudia Gadelha,Blue,0,4,Orthodox,1,0,0,162.56,160.02,115,7,2020-11-07,1988-12-07,32
Darren Elkins,Red,1,8,Orthodox,1,0,0,177.8,180.34,145,14,2020-11-07,1984-05-16,36
Giga Chikadze,Red,1,0,Orthodox,1,0,0,182.88,187.96,145,4,2020-11-07,1988-08-25,32
Raoni Barcelos,Red,1,0,Orthodox,1,0,0,170.18,170.18,135,4,2020-11-07,1987-05-01,34
Trevin Giles,Red,1,2,Orthodox,1,0,0,182.88,187.96,185,3,2020-11-07,1992-08-06,28
Gustavo Lopez,Red,1,1,Orthodox,1,0,0,165.1,170.18,135,0,2020-11-07,1989-06-27,31
Max Griffin,Red,1,6,Orthodox,1,0,0,180.34,193.04,170,3,2020-11-07,1985-11-29,35
Chris Gruetzemacher,Blue,0,2,Orthodox,1,0,0,172.72,172.72,155,2,2020-10-31,1986-06-16,34
Adrian Yanez,Red,1,0,Orthodox,1,0,0,170.18,177.8,135,0,2020-10-31,1993-11-29,27
Maurice Greene,Blue,0,2,Orthodox,1,0,0,200.66,203.2,258,4,2020-10-31,1986-07-05,34
Sean Strickland,Red,1,3,Orthodox,1,0,0,185.42,193.04,185,7,2020-10-31,1991-02-27,30
Bobby Green,Blue,0,6,Orthodox,1,0,0,177.8,180.34,155,8,2020-10-31,1986-09-09,34
Kevin Holland,Red,1,2,Orthodox,1,0,0,190.5,205.74,185,6,2020-10-31,1992-11-05,28
Uriah Hall,Red,1,7,Orthodox,1,0,0,182.88,200.66,185,8,2020-10-31,1984-07-31,36
Bryce Mitchell,Red,1,0,Southpaw,0,1,0,177.8,177.8,145,4,2020-10-31,1994-10-04,26
Dustin Jacoby,Red,1,2,Orthodox,1,0,0,190.5,193.04,205,0,2020-10-31,1988-04-04,33
Cole Williams,Blue,0,1,Orthodox,1,0,0,182.88,185.42,170,0,2020-10-31,1983-12-15,37
Miles Johns,Red,1,1,Orthodox,1,0,0,170.18,167.64,135,1,2020-10-31,1994-03-30,27
Jacob Malkoun,Blue,0,0,Orthodox,1,0,0,175.26,185.42,185,0,2020-10-24,1995-08-26,25
Alexander Volkov,Red,1,2,Orthodox,1,0,0,200.66,203.2,250,5,2020-10-24,1988-10-24,32
Magomed Ankalaev,Red,1,1,Orthodox,1,0,0,190.5,190.5,205,4,2020-10-24,1992-06-02,28
Stefan Struve,Blue,0,10,Orthodox,1,0,0,210.82,213.36,265,13,2020-10-24,1988-02-18,33
Robert Whittaker,Red,1,3,Orthodox,1,0,0,182.88,185.42,185,12,2020-10-24,1990-12-20,30
Lauren Murphy,Red,1,4,Orthodox,1,0,0,165.1,170.18,125,5,2020-10-24,1983-07-27,37
Khabib Nurmagomedov,Red,1,0,Orthodox,1,0,0,177.8,177.8,155,12,2020-10-24,1988-09-20,32
Nathaniel Wood,Blue,0,1,Orthodox,1,0,0,167.64,175.26,140,4,2020-10-24,1993-05-08,27
Joel Alvarez,Red,1,1,Orthodox,1,0,0,190.5,195.58,155,2,2020-10-24,1994-03-02,27
Liana Jojua,Blue,0,1,Orthodox,1,0,0,162.56,157.48,125,1,2020-10-24,1995-03-22,26
Da-Un Jung,Draw,0,0,Orthodox,1,0,0,193.04,198.12,205,2,2020-10-24,1993-12-07,27
Alex Oliveira,Blue,0,7,Orthodox,1,0,0,180.34,193.04,170,11,2020-10-24,1988-02-21,33
Katlyn Chookagian,Blue,0,3,Orthodox,1,0,0,175.26,172.72,125,7,2020-10-17,1988-12-28,32
Thomas Almeida,Blue,0,3,Southpaw,0,1,0,170.18,177.8,145,5,2020-10-17,1991-07-31,29
Jimmy Crute,Red,1,1,Orthodox,1,0,0,187.96,187.96,205,3,2020-10-17,1996-03-04,25
Mateusz Gamrot,Blue,0,0,Southpaw,0,1,0,177.8,177.8,155,0,2020-10-17,1990-12-11,30
Junyong Park,Red,1,1,Orthodox,1,0,0,177.8,185.42,185,1,2020-10-17,1991-02-27,30
Gillian Robertson,Red,1,2,Orthodox,1,0,0,165.1,160.02,125,5,2020-10-17,1995-05-17,25
Claudio Silva,Blue,0,0,Southpaw,0,1,0,180.34,180.34,170,5,2020-10-17,1982-09-06,38
Brian Ortega,Red,1,2,Switch,0,0,1,172.72,175.26,145,6,2020-10-17,1991-02-21,30
Gadzhimurad Antigulov,Blue,0,3,Orthodox,1,0,0,180.34,177.8,205,2,2020-10-17,1987-02-09,34
Said Nurmagomedov,Red,1,1,Orthodox,1,0,0,172.72,177.8,135,2,2020-10-17,1992-04-05,29
Jamie Mullarkey,Blue,0,1,Orthodox,1,0,0,182.88,187.96,155,0,2020-10-17,1994-08-17,26
Marlon Moraes,Blue,0,2,Orthodox,1,0,0,167.64,170.18,135,5,2020-10-10,1988-04-26,32
Tom Breese,Red,1,2,Southpaw,0,1,0,190.5,185.42,185,4,2020-10-10,1991-09-26,29
Chris Daukaus,Red,1,0,Orthodox,1,0,0,190.5,193.04,250,1,2020-10-10,1989-09-25,31
Markus Perez,Blue,0,3,Orthodox,1,0,0,185.42,185.42,185,2,2020-10-10,1988-06-22,32
Ben Rothwell,Blue,0,6,Orthodox,1,0,0,193.04,198.12,265,8,2020-10-10,1981-10-17,39
Youssef Zalal,Blue,0,0,Switch,0,0,1,177.8,182.88,145,3,2020-10-10,1996-09-04,24
Tom Aspinall,Red,1,0,Orthodox,1,0,0,195.58,198.12,256,1,2020-10-10,1993-04-11,27
Edson Barboza,Red,1,9,Orthodox,1,0,0,180.34,190.5,145,14,2020-10-10,1986-01-21,35
Impa Kasanganay,Blue,0,0,Orthodox,1,0,0,180.34,190.5,185,1,2020-10-10,1994-01-17,27
Giga Chikadze,Red,1,0,Orthodox,1,0,0,182.88,187.96,145,3,2020-10-10,1988-08-25,32
Ali AlQaisi,Blue,0,1,Orthodox,1,0,0,167.64,172.72,135,0,2020-10-10,1990-09-23,30
Tracy Cortez,Red,1,0,Orthodox,1,0,0,165.1,165.1,135,1,2020-10-10,1993-12-10,27
Bruno Silva,Blue,0,2,,0,0,0,182.88,,185,0,2020-10-10,1989-07-13,31
Carlos Condit,Red,1,9,Orthodox,1,0,0,187.96,190.5,170,7,2020-10-03,1984-04-26,36
Dequan Townsend,Blue,0,3,Orthodox,1,0,0,190.5,200.66,205,0,2020-10-03,1986-05-11,34
Charles Jourdain,Draw,0,2,Switch,0,0,1,175.26,175.26,145,1,2020-10-03,1995-11-27,25
Germaine de Randamie,Red,1,2,Orthodox,1,0,0,175.26,180.34,135,6,2020-10-03,1984-04-24,36
Kyler Phillips,Red,1,0,Orthodox,1,0,0,172.72,182.88,135,1,2020-10-03,1995-06-12,25
Holly Holm,Red,1,5,Southpaw,0,1,0,172.72,175.26,135,6,2020-10-03,1981-10-17,39
Yorgan De Castro,Blue,0,1,Orthodox,1,0,0,182.88,187.96,250,1,2020-10-03,1986-12-19,34
Jordan Williams,Blue,0,0,Southpaw,0,1,0,185.42,190.5,185,0,2020-10-03,1990-10-13,30
Loma Lookboonmee,Red,1,1,Orthodox,1,0,0,154.94,154.94,115,1,2020-10-03,1996-01-18,25
Casey Kenney,Red,1,1,Southpaw,0,1,0,170.18,172.72,140,3,2020-10-03,1991-03-20,30
Luigi Vendramini,Red,1,1,Orthodox,1,0,0,172.72,185.42,170,0,2020-10-03,1996-01-16,25
